summary_id,level,cluster_id,chunks_count,silhouette_score,summary_preview,created_at
level_0_cluster_0_c7885698,0,0,122,0.0003618438212124389,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T17:51:20.587933
level_0_cluster_0_231e5793,0,0,512,0.01940770448731996,"Here’s a concise summary of the provided content, focusing on the core themes and key points:

“The ",2026-03-26T18:07:58.714973
level_0_cluster_1_844aac39,0,1,94,0.0003618438212124389,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

**Su",2026-03-26T17:52:08.839517
level_0_cluster_1_68fe4790,0,1,170,0.01940770448731996,"Here’s a summary of the provided content, aiming for a concise and informative overview:

**Summary:",2026-03-26T18:08:46.696279
level_0_cluster_2_1e5f0113,0,2,70,0.0003618438212124389,"Okay, here’s a summary of the provided content, aiming for a concise and informative overview:

**Su",2026-03-26T17:53:02.298105
level_0_cluster_2_12c5bfb4,0,2,540,0.01940770448731996,"Here’s a concise summary of the provided content, designed to capture the main themes and key points",2026-03-26T18:09:30.286583
level_0_cluster_3_5fdf0908,0,3,566,0.0003618438212124389,"Here’s a concise summary of the provided content, designed to capture the core themes and key detail",2026-03-26T17:53:47.043444
level_0_cluster_3_bccd372e,0,3,78,0.01940770448731996,"Here’s a concise summary of “The Book of Five Rings” focusing on the core themes and key points:

“T",2026-03-26T18:10:27.415133
level_0_cluster_4_08a5945a,0,4,100,0.0003618438212124389,"Here’s a summary of the provided content, designed to be concise and informative:

This document foc",2026-03-26T17:54:34.663600
level_0_cluster_4_a351a46c,0,4,192,0.01940770448731996,"Here’s a summary of the provided content, aiming for clarity and conciseness:

**Summary:**

This do",2026-03-26T18:11:20.885993
level_0_cluster_5_67af951d,0,5,136,0.0003618438212124389,"Here’s a concise summary of the provided text, capturing the main themes and key points:

**Summary:",2026-03-26T17:55:24.662900
level_0_cluster_5_221785a5,0,5,256,0.01940770448731996,"Here’s a summary of the provided text, aiming for clarity and capturing the core themes:

This docum",2026-03-26T18:12:10.110006
level_0_cluster_6_b0ebf0e5,0,6,576,0.0003618438212124389,"Okay, here’s a summary of the provided content, aiming for a concise, informative, and well-structur",2026-03-26T17:56:17.476068
level_0_cluster_6_16708f7d,0,6,218,0.01940770448731996,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T18:13:01.350754
level_0_cluster_7_d513c94b,0,7,64,0.0003618438212124389,"Here’s a concise summary of Robin Wieruch’s “The Road to React” book, incorporating the requested el",2026-03-26T17:57:02.172576
level_0_cluster_7_6269b9c7,0,7,102,0.01940770448731996,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T18:13:48.210802
level_1_cluster_0_32a30cac,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T17:57:43.508207
level_1_cluster_0_3615bce7,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, aiming for clarity and capturing the core themes a",2026-03-26T18:14:28.146084
level_1_cluster_1_996fcd9a,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, aiming for clarity and capturing the key elements:

T",2026-03-26T17:58:18.434551
level_1_cluster_1_737933bd,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-26T18:15:07.472448
